order_id,order_datetime,store,item_name,quantity,unit_price,payment_method,status,customer_rating
10429,"Jul 19, 2026 13:56",Kochiyo Central Kitchen,Beef  Curry  Udon,1,¥987,cash ,Delivered,N/A
10505,07/28/2026 01:25 PM,Kochiyo Halal - Edogawa ,Green Tea,2,502.00,LINE Pay,Refunded,N/A
10395,2026/07/16,Kochiyo Halal - Edogawa ,Beef Curry Udon,3,¥1097,PayPay,DELIVERED,5.0
10193,22/06/2026 19:24,Kochiyo Central Kitchen,Miso  Soup,2,450,paypay,cancelled,
10172,2026/06/20,Kochiyo Halal Multi Cuisine - Edogawa,gyoza(6pc),1,697.00,,Cancelled,
10243,2026-06-27 12:57,Kochiyo Halal Multi Cuisine - Edogawa,Gyoza (6pcs),1,¥668,cash ,Cancelled,4.5
,2026/07/02,Kochiyo Halal Multi Cuisine - Edogawa,Green Tea,3,¥200,credit card,DELIVERED,5
,06/05/2026 08:07 PM,Kochiyo Halal Multi Cuisine - Edogawa,chicken karaage,1,¥943,LINE Pay,cancelled,4
10492,27/07/2026 19:39,Kochiyo Central Kitchen,Beef  Curry  Udon,2,"¥1,443",,Delivered ,5.0
10253,"Jun 28, 2026 19:24",Kochiyo Central Kitchen,Gyoza (6pcs),2,775,,Refunded,5
10430,07/19/2026 05:38 PM,Kochiyo Central Kitchen,Green Tea,2,439,paypay,Delivered,
10403,"Jul 17, 2026 17:11",Kochiyo Halal Multi Cuisine - Edogawa,Gyoza 6pcs,3,¥779,paypay,Delivered,
10001,2026/06/01,Kochiyo Central Kitchen,beef curry udon,2,1103.00,Credit Card,Delivered ,3
,2026/06/20,Kochiyo Central Kitchen,Tempura  Set,2,¥1412,,Cancelled,4.5
10501,27/07/2026 23:46,Kochiyo Halal Multi Cuisine - Edogawa,mango  lassi,2,¥773,,Delivered,N/A
10194,2026/06/22,Kochiyo Halal Multi Cuisine - Edogawa,green tea,1,200.00,cash ,cancelled,N/A
10037,"Jun 04, 2026 17:20",Kochiyo Halal Multi Cuisine - Edogawa,Beef  Curry  Udon,2,"¥1,292",,Refunded,5.0
